[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\xml\__init__.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\xml\parsers\expat.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\zoneinfo\_tzpath.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\_compat_pickle.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\urllib3\util\wait.py first seen with mtime 1658158230.3576796
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\DLLs\_overlapped.pyd first seen with mtime 1654511088.0
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\importlib\_common.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\xml\dom\minidom.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1658158218.080101
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\dispatch\__init__.py first seen with mtime 1658158218.2001019
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\db\models\base.py first seen with mtime 1658158218.1761012
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\xml\dom\minicompat.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\embed_video\backends.py first seen with mtime 1658158230.8142426
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\core\checks\compatibility\django_4_0.py first seen with mtime 1658158218.080101
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\asyncio\streams.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django_heroku\core.py first seen with mtime 1658158234.3218884
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\weakref.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\sqlparse\utils.py first seen with mtime 1658158215.728103
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\requests\structures.py first seen with mtime 1658158230.6969018
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\sqlparse\cli.py first seen with mtime 1658158215.728103
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\wsgiref\headers.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\views\csrf.py first seen with mtime 1658158218.3121014
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\db\backends\sqlite3\__init__.py first seen with mtime 1658158218.1521022
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\email\iterators.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\asyncio\transports.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1658158215.728103
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\uu.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\random.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\urllib3\util\connection.py first seen with mtime 1658158230.3576796
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\asyncio\base_futures.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\posixpath.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\core\wsgi.py first seen with mtime 1658158218.0641012
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\json\decoder.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\quopri.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\importlib\metadata\_collections.py first seen with mtime 1654510966.0
